24;27;25;21;15;8;3;0;0;0;0;0;0
26;29;28;24;16;8;3;0;0;0;0;0;0
29;32;31;26;18;9;3;0;0;0;0;0;0
32;36;34;28;19;10;4;0;0;0;0;0;0
34;38;37;30;21;11;4;0;0;0;0;0;0
37;41;38;32;22;12;4;0;0;0;0;0;0
37;44;41;34;22;13;4;0;0;0;0;0;0
38;44;42;34;24;13;5;0;0;0;0;0;0
39;45;44;35;24;14;5;1;0;0;0;0;0
40;47;44;37;26;15;6;1;0;0;0;0;0
39;46;43;37;26;15;6;1;0;0;0;0;0
38;45;45;37;28;16;6;2;0;0;0;0;0
37;45;45;38;29;16;8;2;0;0;0;0;0
36;42;45;39;28;17;8;2;0;0;0;0;0
35;43;45;40;29;17;8;2;0;0;0;0;0
33;42;43;40;30;18;8;2;0;0;0;0;0
33;43;43;38;29;18;8;2;0;0;0;0;0
31;40;42;38;30;20;9;2;0;0;0;0;0
28;37;40;38;30;19;9;3;0;0;0;0;0
27;36;40;37;30;19;9;3;0;0;0;0;0
26;34;38;36;28;19;10;3;0;0;0;0;0
24;32;37;37;29;19;10;3;0;0;0;0;0
24;32;37;35;28;19;10;3;0;0;0;0;0
22;32;35;34;29;19;10;3;0;0;0;0;0
20;29;34;34;28;20;11;4;0;0;0;0;0
20;28;34;33;27;19;10;4;0;0;0;0;0
20;27;33;33;28;19;10;4;0;0;0;0;0
18;28;32;31;27;19;11;5;0;0;0;0;0
16;25;31;31;27;19;11;4;0;0;0;0;0
17;25;31;31;27;20;12;5;1;0;0;0;0
16;24;30;31;28;21;13;6;2;0;0;0;0
14;22;29;30;29;21;14;7;2;0;0;0;0
15;22;29;32;30;22;15;7;2;0;0;0;0
15;23;29;32;30;22;15;8;2;0;0;0;0
14;22;30;33;31;24;16;8;3;0;0;0;0
13;23;31;36;33;26;16;9;3;1;0;0;0
14;23;31;36;33;27;17;9;4;0;0;0;0
13;23;32;37;35;28;18;10;4;0;0;0;0
13;24;32;37;35;28;19;9;3;0;0;0;0
12;24;33;37;35;28;18;9;3;0;0;0;0
13;23;33;39;37;30;20;10;3;0;0;0;0
12;24;33;39;38;31;21;11;4;0;0;0;0
12;22;33;40;39;32;21;11;5;1;0;0;0
12;22;34;40;40;34;24;13;5;1;0;0;0
12;22;34;40;40;34;24;13;6;1;0;0;0
11;22;34;41;42;35;25;15;6;1;0;0;0
10;22;35;41;41;36;27;15;6;1;0;0;0
10;21;34;42;43;37;29;17;7;2;0;0;0
9;20;34;42;43;40;30;18;8;2;0;0;0
9;20;33;43;45;41;32;19;9;2;0;0;0
9;19;33;43;46;42;33;20;9;2;0;0;0
9;20;34;44;47;44;35;21;10;3;0;0;0
8;19;32;42;48;44;35;23;11;3;0;0;0
7;18;31;43;47;45;36;24;12;3;0;0;0
7;17;32;44;49;48;39;26;13;4;0;0;0
6;16;30;42;47;47;39;26;13;5;0;0;0
5;15;29;41;47;47;41;29;15;5;0;0;0
5;14;27;40;48;47;42;31;16;6;1;0;0
5;13;27;39;49;49;42;32;19;7;1;0;0
